observedPropertyDeterminandCode,resultUom
CAS_14797-65-0,mg{NO2}/L
EEA_3164-07-6,{massRatio}
CAS_14797-55-8,mg{NO3}/L
EEA_3151-01-7,mmol/L
CAS_7723-14-0,mg{P}/L
EEA_3164-08-7,{massRatio}
EEA_3131-01-9,%
EEA_3161-03-3,mg{N}/L
EEA_3152-01-0,[pH]
EEA_3163-01-7,mg{Si}/L
EEA_3133-01-5,mg{O2}/L
CAS_14265-44-2,mg{P}/L
EEA_3161-01-1,mg{N}/L
EEA_3161-05-5,mg{N}/L
CAS_14798-03-9,mg{NH4}/L
EEA_3164-01-0,ug/L
EEA_3142-01-6,uS/cm
EEA_31615-01-7,mg{N}/L
EEA_3121-01-5,Cel
EEA_3161-02-2,mg{N}/L
EEA_3133-03-7,mg{O2}/L
EEA_3133-06-0,mg{C}/L
CAS_15307-86-5,ug/L
EEA_31613-01-1,mg{NH3}/L
